name,objects,features,classes
Avila,10430,10,12
Blood Transfusion,748,4,2
Breast Cancer (Diag.),569,30,2
Breast Cancer (Orig.),683,9,9
Breast Tissue,106,9,6
Ecoli,336,7,8
Fossil,87,6,3
Glass,214,9,6
HTRU2,17898,8,2
Haberman,306,3,2
Iris,150,4,3
Leaf,340,15,30
Letter Recognition,20000,16,26
Libras Movement,360,90,15
Musk 1,476,166,2
Musk 2,6598,166,2
Optical Recognition,3823,62,10
Page Blocks,5473,10,5
Parkinsons,195,22,2
Pen-Based Recognition,7494,16,10
Sonar all,208,60,2
Spambase,4601,57,2
Vehicle Silhouettes,846,18,4
Vertebral Column,310,6,3
Wine,178,13,3
Wine Quality (Red),1599,11,6
Wine Quality (White),4898,11,7
Yeast,1484,8,10
